CPT Code,State,5th %ile,10th %ile,25th %ile,50th %ile,75th %ile,90th %ile,95th %ile
97152,MN,$17.05,$18.20,$19.64,$20.48,$21.80,$21.89,$21.89
97152,MO,$14.85,$15.30,$16.25,$16.47,$17.86,$20.53,$22.01
97152,MS,$14.62,$14.62,$14.62,$15.62,$15.62,$16.57,$17.24
97152,MT,$16.20,$16.20,$16.20,$28.80,$31.00,$31.00,$31.00
97152,NC,$15.99,$15.99,$16.77,$17.52,$20.91,$22.94,$24.44
97152,ND,$22.41,$22.41,$25.40,$28.06,$30.60,$33.68,$33.68
97152,NE,$22.41,$22.41,$25.40,$30.60,$31.47,$35.67,$35.67
97152,NH,$15.64,$15.78,$16.89,$17.83,$19.43,$20.54,$22.90
97152,NJ,$15.25,$15.25,$15.47,$16.47,$18.52,$21.53,$23.19
97152,NM,$15.47,$15.76,$16.54,$16.97,$18.91,$20.23,$22.11
97152,NV,$15.97,$16.04,$16.83,$17.04,$18.02,$19.02,$20.69
97152,NY,$16.65,$17.83,$19.87,$21.49,$24.56,$25.41,$28.10
97152,OH,$14.78,$14.80,$16.76,$19.84,$20.38,$22.24,$23.38
97152,OK,$15.64,$15.64,$15.64,$16.75,$17.70,$18.96,$19.63
97152,OR,$15.23,$15.23,$16.01,$16.23,$17.63,$20.53,$21.01
97152,PA,$15.52,$15.66,$17.17,$17.56,$19.34,$22.23,$23.22
97152,RI,$14.64,$15.12,$16.22,$17.00,$19.56,$21.03,$22.99
97152,SC,$14.37,$14.37,$15.47,$16.47,$17.52,$20.53,$21.20
97152,SD,$18.20,$18.20,$19.95,$23.36,$31.40,$35.10,$35.10
97152,TN,$14.69,$14.69,$14.69,$17.13,$18.29,$21.20,$21.99
97152,TX,$15.47,$15.47,$16.54,$17.82,$20.68,$23.86,$26.07
97152,UT,$14.80,$14.97,$15.10,$16.80,$17.67,$20.54,$21.39
97152,VA,$15.47,$15.47,$15.47,$16.47,$16.98,$20.42,$22.95
97152,VT,$12.70,$12.70,$12.90,$13.50,$13.50,$15.50,$17.00
97152,WA,$15.47,$15.47,$16.25,$16.54,$17.43,$21.21,$22.84
97152,WI,$14.70,$14.70,$15.59,$16.47,$18.69,$21.52,$22.30
97152,WV,$11.41,$11.41,$11.41,$11.41,$11.41,$11.41,$11.41
97153,AK,$13.76,$13.76,$13.76,$14.59,$15.59,$16.60,$16.60
97153,AL,$11.34,$11.34,$11.90,$12.19,$14.69,$16.56,$17.28
97153,AR,$11.09,$11.09,$11.09,$11.64,$13.86,$16.22,$16.22
97153,AZ,$12.30,$12.77,$13.74,$16.92,$18.75,$19.38,$19.96
97153,CA,$12.49,$12.84,$14.02,$14.44,$17.03,$19.51,$20.81
97153,CO,$12.50,$12.50,$13.39,$16.39,$18.01,$20.02,$20.95
97153,CT,$12.50,$12.50,$13.06,$13.70,$15.79,$18.12,$19.60
97153,DC,$14.47,$14.47,$14.47,$15.00,$15.00,$15.00,$15.00
97153,DE,$12.08,$12.08,$12.50,$13.06,$14.39,$14.39,$14.39
97153,FL,$11.95,$12.34,$12.34,$12.90,$13.36,$15.86,$17.03
97153,GA,$11.26,$11.26,$11.26,$12.09,$15.54,$17.12,$19.13
97153,HI,$12.50,$12.50,$12.50,$13.11,$13.11,$14.44,$14.44
97153,IA,$11.19,$11.19,$12.61,$13.55,$15.53,$24.76,$25.07
97153,ID,$11.36,$11.80,$11.84,$12.80,$13.74,$15.07,$15.97
97153,IL,$12.17,$12.17,$12.94,$13.06,$14.53,$16.79,$18.02
